route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
2-SQU,3132,2460287:6630631:6631135,Highlands,11252,6631135,1
1-SQU,3253,2458890:6630647:6631169,Downtown,11275,6631169,0
2-SQU,2375,2458828:6630676:6631216,Highlands - Via University,25269,6631216,1
3-SQU,2375,2458838:6630694:6631065,Valleycliffe,11146,6631065,1
1-SQU,2375,2458834:6630707:6631205,Downtown,11275,6631205,0
2-SQU,2375,2458839:6630715:6631072,Highlands - Via University,25269,6631072,1
2-SQU,2375,2458830:6630722:6631205,Downtown,11257,6631205,0
3-SQU,3132,2460284:6630728:6631229,Valleycliffe,11146,6631229,1
3-SQU,3132,2460244:6630738:6631135,Valleycliffe,11146,6631135,1
2-SQU,2375,2458795:6630752:6631216,Highlands - Via University,25269,6631216,1
1-SQU,2375,2458854:6630774:6631072,Downtown,11275,6631072,0
2-SQU,2375,2458822:6630776:6631058,Highlands - Via University,25269,6631058,1
3-SQU,2375,2458810:6630788:6631058,Valleycliffe,11146,6631058,1
2-SQU,2375,2458835:6630800:6631058,Highlands,11175,6631058,1
2-SQU,2375,2458802:6630805:6631058,Downtown,11257,6631058,0
2-SQU,2375,2458827:6630810:6631205,Downtown,11257,6631205,0
1-SQU,3253,2458908:6630812:6631230,Downtown,11275,6631230,0
2-SQU,3132,2460329:6630818:6631246,Highlands,11252,6631246,1
4-SQU,3132,2460317:6630822:6631055,Garibaldi,11228,6631055,1
3-SQU,3132,2460255:6630837:6631055,Valleycliffe,11146,6631055,1
3-SQU,2375,2458859:6630859:6631216,Valleycliffe,11146,6631216,1
2-SQU,3201,2460308:6630886:6631170,Downtown,11257,6631170,0
2-SQU,3211,2460308:6630886:6631235,Downtown,11257,6631235,0
2-SQU,2375,2458799:6630890:6631065,Highlands - Via University,25269,6631065,1
1-SQU,3132,2460337:6630894:6631074,Downtown,11275,6631074,0
1-SQU,3201,2460354:6630901:6631170,Downtown,11275,6631170,0
1-SQU,3211,2460354:6630901:6631235,Downtown,11275,6631235,0
2-SQU,3253,2458911:6630902:6631131,Highlands - Via University,25269,6631131,1
2-SQU,2375,2458797:6630909:6631065,Highlands - Via University,25269,6631065,1
2-SQU,2375,2458860:6630911:6631072,Highlands - Via University,25269,6631072,1
1-SQU,3253,2458884:6630914:6631230,Brackendale,11233,6631230,1
2-SQU,3132,2460343:6630936:6631229,Highlands,11252,6631229,1
2-SQU,3253,2458912:6630973:6631131,Highlands - Via University,25269,6631131,1
1-SQU,3253,2458916:6630994:6631131,Brackendale,11233,6631131,1
4-SQU,3132,2460321:6630998:6631229,Downtown,11328,6631229,0
1-SQU,3132,2460276:6631008:6631066,Brackendale,11233,6631066,1
1-SQU,3132,2460260:6631023:6631246,Downtown,11275,6631246,0
