,stop_code,stop_name,stop_lat,stop_lon,geometry
735,103721,Princeton Ave at Pineridge Rd,49.7521,-119.78355,POINT (-119.78355 49.7521)
736,103723,Princeton Ave at Bradbury St,49.75194,-119.78764,POINT (-119.78764 49.75194)
737,103722,Princeton Ave at Pineridge Rd,49.752,-119.78354,POINT (-119.78354 49.752)
738,103720,Princeton Ave at Keyes Ave,49.75229,-119.77856,POINT (-119.77856 49.75229)
739,103718,5000 Blk Princeton Ave,49.75369,-119.77149,POINT (-119.77149 49.75369)
740,103715,Princeton Ave at Vernon Ave,49.75512,-119.76637,POINT (-119.76637 49.75512)
741,103713,Princeton Ave at Whinton Cres,49.757,-119.76356,POINT (-119.76356 49.757)
742,103711,Princeton Ave at Turner Ave,49.75947,-119.76076,POINT (-119.76076 49.75947)
743,103709,Princeton Ave at Gummow Rd,49.76258,-119.75472,POINT (-119.75472 49.76258)
744,103707,Princeton Ave at Lipsett Ave,49.76471,-119.75143,POINT (-119.75143 49.76471)
745,103706,Princeton Ave at Somerset Ave,49.76624,-119.74866,POINT (-119.74866 49.76624)
746,103703,Princeton Ave at Princess St,49.76884,-119.74467,POINT (-119.74467 49.76884)
747,103700,Beach Ave at Hwy 97,49.77085,-119.73908,POINT (-119.73908 49.77085)
748,140222,Beach Ave at 4th St,49.7747,-119.73506,POINT (-119.73506 49.7747)
749,103695,Beach Ave at 6th St,49.77638,-119.73427,POINT (-119.73427 49.77638)
750,103692,Beach Ave at 11th St,49.78121,-119.73113,POINT (-119.73113 49.78121)
751,104912,Beach Ave at 12th St,49.78188,-119.72608,POINT (-119.72608 49.78188)
752,103690,13th St at Lake Ave,49.7827,-119.72315,POINT (-119.72315 49.7827)
753,103675,Buchanan Rd at Hwy 97,49.78912,-119.70749,POINT (-119.70749 49.78912)
754,103671,Buchanan Rd at Beach Ave,49.79245,-119.70261,POINT (-119.70261 49.79245)
755,103667,Buchanan Rd at Burdekin Lane,49.79458,-119.69935,POINT (-119.69935 49.79458)
756,103528,Old Okanagan Hwy at Shannon Lake Rd,49.84479,-119.62391,POINT (-119.62391 49.84479)
757,103502,Old Okanagan Hwy at Bayview Dr,49.84351,-119.61736,POINT (-119.61736 49.84351)
758,103473,Old Okanagan Hwy at Skyview Lane,49.84478,-119.60989,POINT (-119.60989 49.84478)
759,103459,Old Okanagan Hwy at Louie Dr,49.84551,-119.6064,POINT (-119.6064 49.84551)
760,103434,Old Okanagan Hwy at Shamrock Dr,49.84915,-119.60106,POINT (-119.60106 49.84915)
761,103393,Old Okanagan Hwy at Daimler Dr,49.85604,-119.59657,POINT (-119.59657 49.85604)
762,103379,Ross Rd at Daimler Dr,49.85624,-119.59386,POINT (-119.59386 49.85624)
763,103329,Ross Rd at Bartley Rd,49.86011,-119.58953,POINT (-119.58953 49.86011)
764,103537,Butt Rd at Louie Dr,49.83691,-119.61937,POINT (-119.61937 49.83691)
765,140067,Louie Dr at Butt Rd,49.83779,-119.61573,POINT (-119.61573 49.83779)
766,140068,Louie Dr at Elk Rd,49.84031,-119.61231,POINT (-119.61231 49.84031)
767,103527,Butt Rd at Carrington Rd,49.83535,-119.61439,POINT (-119.61439 49.83535)
768,103508,3500 Blk Carrington Rd,49.83681,-119.61117,POINT (-119.61117 49.83681)
769,103483,Carrington Rd at Elk Rd,49.83844,-119.60908,POINT (-119.60908 49.83844)
770,140117,Elk Rd at Acorn Dr,49.83913,-119.60606,POINT (-119.60606 49.83913)
771,103463,Elk Rd at Cougar Rd,49.839,-119.60133,POINT (-119.60133 49.839)
772,103447,Ridge Estates Dr at Elk Rd,49.8362,-119.59467,POINT (-119.59467 49.8362)
773,140095,East Boundary Rd at Wolfe Rd,49.83921,-119.59181,POINT (-119.59181 49.83921)
774,103422,East Boundary Rd at Elk Rd,49.84047,-119.58896,POINT (-119.58896 49.84047)
775,103403,East Boundary Rd at Vineyard Drive,49.84568,-119.589,POINT (-119.589 49.84568)
776,103388,3100 Blk East Boundary Rd,49.8486,-119.58899,POINT (-119.58899 49.8486)
777,103389,3100 Blk East Boundary Rd,49.84856,-119.58912,POINT (-119.58912 49.84856)
778,103407,East Boundary Rd at Eagle Crt,49.84488,-119.58914,POINT (-119.58914 49.84488)
779,103427,East Boundary Rd at Elk Rd,49.84023,-119.5891,POINT (-119.5891 49.84023)
780,140094,East Boundary Rd at Wolfe Rd,49.8393,-119.5918,POINT (-119.5918 49.8393)
781,103450,Elk Rd at Ridge Estates Dr,49.83628,-119.59588,POINT (-119.59588 49.83628)
782,103465,Elk Rd at Cougar Rd,49.83914,-119.60246,POINT (-119.60246 49.83914)
783,140116,Elk Rd at Acorn Dr,49.83922,-119.60591,POINT (-119.60591 49.83922)
784,103485,Carrington Rd at Elk Rd,49.83866,-119.60907,POINT (-119.60907 49.83866)
785,103509,3500 Blk Carrington Rd,49.83686,-119.6113,POINT (-119.6113 49.83686)
786,103525,Butt Rd at Carrington Rd,49.83557,-119.61434,POINT (-119.61434 49.83557)
787,103497,Louie Dr at Elk Rd,49.84029,-119.61252,POINT (-119.61252 49.84029)
788,103511,Louie Dr at Butt Rd,49.8385,-119.61494,POINT (-119.61494 49.8385)
789,103535,Butt Rd at Louie Dr,49.837,-119.61936,POINT (-119.61936 49.837)
790,103609,Airport Way at Old Vernon Rd,49.96977,-119.38373,POINT (-119.38373 49.96977)
791,103607,Airport Way at Lapointe Dr,49.96419,-119.38187,POINT (-119.38187 49.96419)
792,103574,5600 Blk Airport Way,49.95571,-119.38163,POINT (-119.38163 49.95571)
793,103656,Kelowna Airport,49.95206,-119.3833,POINT (-119.3833 49.95206)
794,103680,Kelowna Airport,49.95212,-119.38314,POINT (-119.38314 49.95212)
795,103569,5600 Blk Airport Way,49.95585,-119.38145,POINT (-119.38145 49.95585)
796,103604,Airport Way at Lapointe Dr,49.96414,-119.38173,POINT (-119.38173 49.96414)
797,103610,Airport Way at Old Vernon Rd,49.9695,-119.38341,POINT (-119.38341 49.9695)
798,103425,Old Vernon Rd at Acland Rd,49.91813,-119.38287,POINT (-119.38287 49.91813)
799,103480,Old Vernon Rd at Morrison Rd,49.91807,-119.36946,POINT (-119.36946 49.91807)
800,103506,Old Vernon Rd at McKenzie Rd,49.91962,-119.36414,POINT (-119.36414 49.91962)
801,103548,Old Vernon Rd at Scotty Creek Rd,49.93301,-119.36409,POINT (-119.36409 49.93301)
802,103561,3600 Blk Old Vernon Rd,49.93716,-119.36407,POINT (-119.36407 49.93716)
803,103576,Old Vernon Rd at Bulman Rd,49.94041,-119.36411,POINT (-119.36411 49.94041)
804,103600,Old Vernon Rd at Black Rd,49.95113,-119.36867,POINT (-119.36867 49.95113)
805,104913,Old Vernon Rd at Teather Rd,49.96147,-119.36886,POINT (-119.36886 49.96147)
806,103620,Old Vernon Rd at Spencer Rd,49.97048,-119.3707,POINT (-119.3707 49.97048)
807,103619,Old Vernon Rd at Spencer Rd,49.97036,-119.3707,POINT (-119.3707 49.97036)
808,103613,Old Vernon Rd at Teather Rd,49.96097,-119.36898,POINT (-119.36898 49.96097)
809,103599,Old Vernon Rd at Black Rd,49.95112,-119.36886,POINT (-119.36886 49.95112)
810,103577,Old Vernon Rd at Bulman Rd,49.94079,-119.36455,POINT (-119.36455 49.94079)
811,103564,3700 Blk Old Vernon Rd,49.93754,-119.36421,POINT (-119.36421 49.93754)
812,103547,Old Vernon Rd at Scotty Creek Rd,49.93322,-119.36423,POINT (-119.36423 49.93322)
