,stop_code,stop_name,stop_lat,stop_lon,geometry
927,101020,McKenzie Ave at Fleet St,48.46854,-123.32363,POINT (-123.32363 48.46854)
928,101021,Beach Dr at Cadboro Bay Rd,48.45447,-123.30087,POINT (-123.30087 48.45447)
929,101022,Interurban Rd at Grange Rd,48.47248,-123.40592,POINT (-123.40592 48.47248)
930,101023,Beach Dr at Humber Rd,48.44888,-123.29475,POINT (-123.29475 48.44888)
931,101024,Beach Dr at Cadboro Bay Rd,48.45462,-123.30066,POINT (-123.30066 48.45462)
932,101025,Helmcken Rd at Werra Rd,48.45994,-123.43307,POINT (-123.43307 48.45994)
933,101026,Helmcken Rd at Midwood Rd,48.45851,-123.43506,POINT (-123.43506 48.45851)
934,101027,Quadra St at Rogers Ave,48.47778,-123.37542,POINT (-123.37542 48.47778)
935,101028,Shelbourne St at Blair Ave,48.47232,-123.33278,POINT (-123.33278 48.47232)
936,101029,Mt Newton X Rd at Sa-Su Rd,48.5911,-123.38472,POINT (-123.38472 48.5911)
937,101030,3900 Blk Wilkinson Rd,48.47073,-123.41224,POINT (-123.41224 48.47073)
938,101031,Helmcken Rd at Parkcrest Dr,48.45987,-123.4334,POINT (-123.4334 48.45987)
939,101032,Helmcken Rd at Gull Rd,48.45848,-123.43547,POINT (-123.43547 48.45848)
940,101033,Burnside Rd W at Eaton Ave,48.4668,-123.42273,POINT (-123.42273 48.4668)
941,101034,Quadra St at Rogers Ave,48.47843,-123.37598,POINT (-123.37598 48.47843)
942,101036,Ring Rd at Bob Wright Centre,48.46177,-123.30836,POINT (-123.30836 48.46177)
943,101037,McKenzie Ave at Gordon Head Rd,48.46847,-123.32104,POINT (-123.32104 48.46847)
944,101038,Burnside Rd W at Eaton Ave,48.46712,-123.42296,POINT (-123.42296 48.46712)
945,101039,Shelbourne St at Blair Ave,48.4732,-123.33249,POINT (-123.33249 48.4732)
946,101040,Glanford Ave at Judah St,48.47732,-123.39081,POINT (-123.39081 48.47732)
947,101041,Blair Ave at Birchwood St,48.47285,-123.33088,POINT (-123.33088 48.47285)
948,101042,Glanford Ave at Judah St,48.47737,-123.39104,POINT (-123.39104 48.47737)
949,101043,McKenzie Ave at Gordon Head Rd,48.4687,-123.32118,POINT (-123.32118 48.4687)
950,101044,Douglas St at Lily Ave,48.47819,-123.38448,POINT (-123.38448 48.47819)
951,101045,Blair Ave at Magdelin St,48.47295,-123.3304,POINT (-123.3304 48.47295)
952,101046,Helmcken Rd at Hwy 1 South Side,48.46333,-123.43117,POINT (-123.43117 48.46333)
953,101047,Lily Ave at Lark Rd,48.47869,-123.38202,POINT (-123.38202 48.47869)
954,101048,McCallum Rd at Costco,48.45915,-123.50282,POINT (-123.50282 48.45915)
955,101049,Cedar Hill Rd at Feltham Rd,48.47485,-123.33531,POINT (-123.33531 48.47485)
956,101050,Island Hwy at Helmcken Rd,48.4556,-123.4405,POINT (-123.4405 48.4556)
957,101051,Island Hwy at Helmcken Rd,48.45642,-123.44049,POINT (-123.44049 48.45642)
958,101052,Helmcken Rd at Hwy 1 South Side,48.4633,-123.43156,POINT (-123.43156 48.4633)
959,101053,Cadboro Bay Rd at Vista Bay Rd,48.45738,-123.30021,POINT (-123.30021 48.45738)
960,101054,Carey Rd at Judah St,48.47661,-123.39872,POINT (-123.39872 48.47661)
961,101055,Hwy 1 at Helmcken Rd,48.46341,-123.43165,POINT (-123.43165 48.46341)
962,101056,Interurban Rd at Meadowview Pl,48.47431,-123.40753,POINT (-123.40753 48.47431)
963,101057,Island Hwy at Helmcken Rd,48.45638,-123.44154,POINT (-123.44154 48.45638)
964,101058,Cadboro Bay Rd at Vista Bay Rd,48.45741,-123.30041,POINT (-123.30041 48.45741)
965,101059,Carey Rd at Roy Rd,48.47696,-123.39909,POINT (-123.39909 48.47696)
966,101060,Cedar Hill Rd at Feltham Rd,48.47537,-123.3355,POINT (-123.3355 48.47537)
967,101061,Interurban Rd at Meadowview Pl,48.47462,-123.40759,POINT (-123.40759 48.47462)
968,101062,Stautw Rd at Pullock Rd,48.59027,-123.38739,POINT (-123.38739 48.59027)
969,101063,Hwy 1 at Helmcken Rd,48.46451,-123.431,POINT (-123.431 48.46451)
970,101064,Helmcken Rd at Hwy 1 North Side,48.46458,-123.43045,POINT (-123.43045 48.46458)
971,101065,Blair Ave at Carnegie Cres,48.47282,-123.32633,POINT (-123.32633 48.47282)
972,101066,Blair Ave at Carnegie Cres,48.47295,-123.32708,POINT (-123.32708 48.47295)
973,101067,Helmcken Rd at Burnside Rd W,48.46917,-123.42331,POINT (-123.42331 48.46917)
974,101068,Helmcken Rd at Burnside Rd W,48.46825,-123.42471,POINT (-123.42471 48.46825)
975,101069,Helmcken Rd at Hwy 1 North Side,48.46456,-123.43086,POINT (-123.43086 48.46456)
976,101070,Cedar Hill Rd at Mt Douglas X Rd,48.4766,-123.33729,POINT (-123.33729 48.4766)
977,101071,Wilkinson Rd at South Valley Dr,48.47416,-123.41265,POINT (-123.41265 48.47416)
978,101072,Cedar Hill Rd at Mt Douglas X Rd,48.47671,-123.33718,POINT (-123.33718 48.47671)
979,101073,Wilkinson Rd at Helen Rd,48.47381,-123.41284,POINT (-123.41284 48.47381)
980,101074,Shelbourne St at Feltham Rd,48.47566,-123.33282,POINT (-123.33282 48.47566)
981,101076,UVic Exch Bay A,48.46598,-123.30953,POINT (-123.30953 48.46598)
982,101077,Shelbourne St at Feltham Rd,48.47547,-123.33256,POINT (-123.33256 48.47547)
983,101078,Laval Ave at Larchwood Dr,48.47319,-123.32476,POINT (-123.32476 48.47319)
984,101079,Cadboro Bay Rd at Bermuda Pl,48.45926,-123.29968,POINT (-123.29968 48.45926)
985,101080,Watkiss Way at Helmcken Rd,48.46746,-123.4298,POINT (-123.4298 48.46746)
986,101081,Watkiss Way at Helmcken Rd,48.46733,-123.42945,POINT (-123.42945 48.46733)
